POLARIDAD,TEXT
,"['la', 'gente', 'que', 'se', 'preocupa', 'por', 'el', 'coronavirus', 'de', 'francia', 'hola', 'hay', 'paperas', 'en', 'aguadulce']"
,"['texaslas', 'autoridades', 'isd', 'de', 'agua', 'dulce', 'dicen', 'que', 'la', 'decision', 'se', 'tomo', 'para', 'impedir', 'riesgos', 'de', 'coronavirus']"
,"['aguadulcedirectores', 'y', 'maestros', 'de', 'nivel', 'primaria', 'activaron', 'los', 'primeros', 'esquemas', 'de', 'prevencion', 'tras', 'confirmarse', 'una', 'persona', 'enferma', 'de', 'coronavirus', 'en', 'chiapas', 'y', 'tres', 'casos', 'sospechosos', 'en', 'veracruz']"
,"['Que',cae','super','bien','esta','persona']"
